EC50_0,SMILES,EC50_1,EC50_2,EC50_3,EC50_4,EC50_5,EC50_6,EC50_7,EC50_8,EC50_9,EC50_10,EC50_11,EC50_12,EC50_13,EC50_14,EC50_15,EC50_16,EC50_17,EC50_18,EC50_19,EC50_20,EC50_21
-3.1760912590556813,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,,,,,,,,,,,,,-2.8750612633917,,,,,,,,
-1.0,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,,,-1.3010299956639813,,,,,,,,,,,,,,-1.6020599913279625,-1.6020599913279625,-1.6020599913279625,,
-2.6989700043360187,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,,,,,,-2.6989700043360187,-0.4771212547196624,,,-0.4771212547196624,-2.6989700043360187,,-2.6989700043360187,,,,,,-0.4771212547196624,,
-3.4771212547196626,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,-0.4771212547196624,,,,,,,,,,,,-3.4771212547196626,,,,,,-3.4771212547196626,,
-0.3010299956639812,O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1,,,,,,,-4.8750612633917,,,-0.3010299956639812,-0.3010299956639812,,,,-4.8750612633917,,-4.8750612633917,,-4.8750612633917,,
-2.255272505103306,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,,,-2.255272505103306,-2.255272505103306,,,,,,,,,,-2.255272505103306,,,,,,,
-1.6020599913279625,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,,,,,,,,,,,,,,,,,,-1.6020599913279625,,,
-1.6989700043360187,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,,,,,,,,,,,,,-2.1760912590556813,,,-2.1760912590556813,,,-2.1760912590556813,-1.6989700043360187,
-1.6532125137753435,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,,,,,,,,,,-1.7781512503836436,,,,,,,-1.6532125137753435,,,,
-2.096910013008056,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,,-1.380211241711606,,,,,,,-2.096910013008056,-2.397940008672037,,,-2.397940008672037,,,,,-0.4771212547196624,-2.096910013008056,,
